"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Demo Web Shop Automation (Tricentis)","0","Product Details Module","7","0","As a User, I want to open product details page so that I can view product information","0"
"0","Demo Web Shop Automation (Tricentis) ","0","Registration Module","1","0","As a User, I want to see validation message when mandatory fields are left empty","0"
"0","Demo Web Shop Automation (Tricentis)","0","Cart Module","1","0","As a User, I want to add product to the cart so that I can purchase that produc","0"
"0","Demo Web Shop Automation (Tricentis)","0","Checkout Module","1","0","As a User, I want to complete checkout using COD payment","0"
"0","Demo Web Shop Automation (Tricentis)","0","Coupon Module","0","1","As a User, I want to apply coupon code","0"
"0","Demo Web Shop Automation (Tricentis) ","0","Login Module","1","0","As a logged- in User, I want to logout from the application","0"
"0","Demo Web Shop Automation (Tricentis)","0","Cart Module","1","0","As a User, I want to update cart quantity so that product totals get updated","0"
"0","Demo Web Shop Automation (Tricentis)","0","Search Product Module","2","0","As a User, I want to search a valid product so that I can view matching product","0"
"0","Demo Web Shop Automation (Tricentis)","0","Orders Page Module","1","0","As a logged-in User, I want to view my orders","0"
"0","Demo Web Shop Automation (Tricentis) ","0","Login Module","1","0","As a User, when I login with invalid password I should see an error message","0"
"0","Demo Web Shop Automation (Tricentis)","0","Compare Product Page Module","1","0","As a User, I want to compare products so that I can view product detials","0"
"0","Demo Web Shop Automation (Tricentis) ","0","Login Module","1","0","As a User, I want to login with valid credentials so that I can access my account","0"
"0","Demo Web Shop Automation (Tricentis)","0","Search Product Module","2","0","As a User, I should see an error message for invalid product search","0"
"0","Demo Web Shop Automation (Tricentis)","0","Cart Module","1","0","As a User, I want to remove item from the cart so that cart becomes empty","0"
"0","Demo Web Shop Automation (Tricentis)","0","Coupon Module","1","0","As a user, I should see error message for invalid coupon","0"
"0","Demo Web Shop Automation (Tricentis)","0","Price Filter Module","1","0","As a User, I want to sort products by price","0"
"0","Demo Web Shop Automation (Tricentis) ","0","Registration Module","1","0","As a User, I want to register with valid credentials so I can create an account","0"
"0","Demo Web Shop Automation (Tricentis)","0","Wishlist Module","1","0","As a User, I want to add product to wishlist so that I can purchase it later","0"
"0","Demo Web Shop Automation (Tricentis)","0","Orders Page Module","1","0","As a User, I want to verify orders Page navigation","0"
"0","Demo Web Shop Automation (Tricentis)","0","My Account Module","1","0","As a logged-in User, I want to view my account details","0"
